step,infected_agents,exposed_agents,recovered_agents,dead_agents,asympt_agents
0,4,0,0,0,4
1,8,1,0,0,8
2,8,1,0,0,8
3,8,1,0,0,8
4,8,2,0,0,8
5,8,2,0,0,8
6,8,2,0,0,8
7,8,2,0,0,8
8,8,2,0,0,8
9,8,2,0,0,8
10,8,4,0,0,8
11,8,4,0,0,8
12,8,4,0,0,8
13,8,4,0,0,8
14,8,4,0,0,8
15,8,4,0,0,8
16,8,6,0,0,8
17,8,6,0,0,8
18,8,6,0,0,8
19,8,6,0,0,8
20,8,6,0,0,8
21,8,6,0,0,8
22,8,6,0,0,8
23,8,6,0,0,8
24,8,6,0,0,8
25,8,6,0,0,8
26,8,6,0,0,8
27,8,6,0,0,8
28,8,7,0,0,8
29,8,7,0,0,8
30,8,7,0,0,8
31,8,7,0,0,8
32,8,7,0,0,8
33,8,7,0,0,8
34,8,7,0,0,8
35,8,7,0,0,8
36,8,7,0,0,8
37,8,7,0,0,8
38,8,7,0,0,8
39,8,7,0,0,8
40,8,7,0,0,8
41,8,7,0,0,8
42,8,7,0,0,8
43,8,7,0,0,8
44,8,7,0,0,8
45,8,8,0,0,8
46,8,8,0,0,8
47,8,8,0,0,8
48,8,9,0,0,8
49,8,9,0,0,8
50,8,9,0,0,8
51,8,9,0,0,8
52,8,9,0,0,8
53,8,9,0,0,8
54,8,9,0,0,8
55,8,10,0,0,8
56,8,11,0,0,8
57,8,11,0,0,8
58,8,11,0,0,8
59,8,11,0,0,8
60,8,11,0,0,8
61,8,11,0,0,8
62,8,11,0,0,8
63,8,11,0,0,8
64,8,11,0,0,8
65,8,11,0,0,8
66,8,11,0,0,8
67,8,11,0,0,8
68,8,11,0,0,8
69,8,11,0,0,8
70,8,11,0,0,8
71,8,12,0,0,8
72,8,12,0,0,8
73,8,12,0,0,8
74,8,12,0,0,8
75,8,12,0,0,8
76,8,12,0,0,8
77,8,12,0,0,8
78,8,12,0,0,8
79,8,13,0,0,8
80,8,14,0,0,8
81,8,14,0,0,8
82,8,14,0,0,8
83,8,14,0,0,8
84,8,14,0,0,8
85,8,14,0,0,8
86,8,14,0,0,8
87,8,14,0,0,8
88,8,14,0,0,8
89,8,14,0,0,8
90,8,14,0,0,8
91,8,14,0,0,8
92,8,14,0,0,8
93,8,14,0,0,8
94,8,14,0,0,8
95,8,14,0,0,8
96,8,14,0,0,8
97,8,14,0,0,8
98,8,14,0,0,8
99,8,14,0,0,8
100,8,14,0,0,8
101,8,14,0,0,8
102,8,14,0,0,8
103,8,14,0,0,8
104,8,14,0,0,8
105,8,14,0,0,8
106,8,15,0,0,8
107,8,15,0,0,8
108,8,16,0,0,8
109,8,16,0,0,8
110,8,16,0,0,8
111,8,16,0,0,8
112,8,16,0,0,8
113,8,16,0,0,8
114,8,16,0,0,8
115,8,16,0,0,8
116,8,16,0,0,8
117,8,18,0,0,8
118,8,18,0,0,8
119,8,18,0,0,8
120,8,18,0,0,8
121,8,18,0,0,8
122,8,18,0,0,8
123,8,18,0,0,8
124,8,18,0,0,8
125,8,18,0,0,8
126,8,18,0,0,8
127,8,18,0,0,8
128,8,18,0,0,8
129,8,18,0,0,8
130,8,18,0,0,8
131,8,18,0,0,8
132,8,18,0,0,8
133,8,19,0,0,8
134,8,19,0,0,8
135,8,19,0,0,8
136,8,19,0,0,8
137,8,19,0,0,8
138,8,19,0,0,8
139,8,19,0,0,8
140,8,19,0,0,8
141,8,19,0,0,8
142,8,20,0,0,8
143,8,20,0,0,8
144,8,20,0,0,8
145,8,21,0,0,8
146,8,21,0,0,8
147,8,21,0,0,8
148,8,21,0,0,8
149,8,21,0,0,8
150,8,21,0,0,8
151,8,21,0,0,8
152,8,21,0,0,8
153,8,21,0,0,8
154,8,21,0,0,8
155,8,21,0,0,8
156,8,21,0,0,8
157,8,21,0,0,8
158,8,21,0,0,8
159,8,21,0,0,8
160,8,21,0,0,8
161,8,21,0,0,8
162,8,21,0,0,8
163,8,21,0,0,8
164,8,21,0,0,8
165,8,21,0,0,8
166,8,21,0,0,8
167,8,21,0,0,8
168,8,21,0,0,8
169,8,21,0,0,8
170,8,21,0,0,8
171,8,21,0,0,8
172,8,21,0,0,8
173,8,21,0,0,8
174,8,21,0,0,8
175,8,21,0,0,8
176,8,21,0,0,8
177,8,21,0,0,8
178,8,21,0,0,8
179,8,21,0,0,8
180,8,21,0,0,8
181,8,21,0,0,8
182,8,21,0,0,8
183,8,21,0,0,8
184,8,21,0,0,8
185,8,21,0,0,8
186,8,21,0,0,8
187,8,21,0,0,8
188,8,21,0,0,8
189,8,21,0,0,8
190,8,21,0,0,8
191,8,21,0,0,8
192,8,21,0,0,8
193,8,21,0,0,8
194,8,21,0,0,8
195,8,21,0,0,8
196,8,21,0,0,8
197,8,21,0,0,8
198,8,21,0,0,8
199,8,21,0,0,8
200,8,21,0,0,8
201,8,21,0,0,8
202,8,21,0,0,8
203,8,21,0,0,8
204,8,21,0,0,8
205,8,22,0,0,8
206,8,22,0,0,8
207,8,22,0,0,8
208,8,22,0,0,8
209,8,22,0,0,8
210,8,23,0,0,8
211,8,23,0,0,8
212,8,23,0,0,8
213,8,23,0,0,8
214,8,23,0,0,8
215,8,23,0,0,8
216,8,23,0,0,8
217,8,23,0,0,8
218,8,23,0,0,8
219,8,23,0,0,8
220,8,23,0,0,8
221,8,23,0,0,8
222,8,24,0,0,8
223,8,24,0,0,8
224,8,24,0,0,8
225,8,25,0,0,8
226,8,25,0,0,8
227,8,25,0,0,8
228,8,25,0,0,8
229,8,25,0,0,8
230,8,25,0,0,8
231,8,26,0,0,8
232,8,26,0,0,8
233,8,26,0,0,8
234,8,26,0,0,8
235,8,26,0,0,8
236,8,26,0,0,8
237,8,26,0,0,8
238,8,26,0,0,8
239,8,26,0,0,8
240,8,26,0,0,8
241,8,26,0,0,8
242,8,26,0,0,8
243,8,26,0,0,8
244,8,26,0,0,8
245,8,26,0,0,8
246,8,26,0,0,8
247,8,26,0,0,8
248,8,26,0,0,8
249,8,26,0,0,8
250,8,26,0,0,8
251,8,26,0,0,8
252,8,26,0,0,8
253,8,26,0,0,8
254,8,26,0,0,8
255,8,26,0,0,8
256,8,26,0,0,8
257,8,26,0,0,8
258,8,27,0,0,8
259,8,27,0,0,8
260,8,27,0,0,8
261,8,27,0,0,8
262,8,27,0,0,8
263,8,27,0,0,8
264,8,27,0,0,8
265,8,27,0,0,8
266,8,27,0,0,8
267,8,27,0,0,8
268,8,27,0,0,8
269,8,27,0,0,8
270,8,27,0,0,8
271,8,27,0,0,8
272,8,27,0,0,8
273,8,27,0,0,8
274,8,27,0,0,8
275,8,27,0,0,8
276,8,27,0,0,8
277,8,27,0,0,8
278,8,27,0,0,8
279,8,27,0,0,8
280,8,27,0,0,8
281,8,27,0,0,8
282,8,27,0,0,8
283,8,27,0,0,8
284,8,27,0,0,8
285,8,27,0,0,8
286,8,27,0,0,8
287,8,27,0,0,8
288,8,27,0,0,8
289,8,27,0,0,8
290,8,27,0,0,8
291,8,27,0,0,8
292,8,27,0,0,8
293,8,27,0,0,8
294,8,27,0,0,8
295,8,27,0,0,8
296,8,27,0,0,8
297,8,27,0,0,8
298,8,27,0,0,8
299,8,27,0,0,8
300,8,27,0,0,8
301,8,27,0,0,8
302,8,27,0,0,8
303,8,27,0,0,8
304,8,27,0,0,8
305,8,27,0,0,8
306,8,27,0,0,8
307,8,27,0,0,8
308,8,27,0,0,8
309,8,27,0,0,8
310,8,28,0,0,8
311,8,28,0,0,8
312,8,28,0,0,8
313,8,28,0,0,8
314,8,28,0,0,8
315,8,29,0,0,8
316,8,29,0,0,8
317,8,29,0,0,8
318,8,29,0,0,8
