step,infected_agents,exposed_agents,recovered_agents,dead_agents,asympt_agents,suscept_agents,hospital_beds,icu_beds,avg_infection
119,5,6,0,0,5,1991,10,0,0.00
120,5,6,0,0,5,1991,10,0,0.00
121,5,6,0,0,5,1991,10,0,0.00
122,5,6,0,0,5,1991,10,0,0.00
123,5,6,0,0,5,1991,10,0,0.00
124,5,6,0,0,5,1991,10,0,0.00
125,5,6,0,0,5,1991,10,0,0.00
126,5,6,0,0,5,1991,10,0,0.00
127,5,6,0,0,5,1991,10,0,0.00
128,5,6,0,0,5,1991,10,0,0.00
129,5,6,0,0,5,1991,10,0,0.00
130,5,6,0,0,5,1991,10,0,0.00
131,5,6,0,0,5,1991,10,0,0.00
132,5,6,0,0,5,1991,10,0,0.00
133,5,6,0,0,5,1991,10,0,0.00
134,5,6,0,0,5,1991,10,0,0.00
135,5,6,0,0,5,1991,10,0,0.00
136,5,6,0,0,5,1991,10,0,0.00
137,5,6,0,0,5,1991,10,0,0.00
138,5,6,0,0,5,1991,10,0,0.00
139,5,6,0,0,5,1991,10,0,0.00
140,5,6,0,0,5,1991,10,0,0.00
141,5,6,0,0,5,1991,10,0,0.00
142,5,6,0,0,5,1991,10,0,0.00
143,5,6,0,0,5,1991,10,0,0.00
144,5,6,0,0,5,1991,10,0,0.00
145,5,6,0,0,5,1991,10,0,0.00
146,5,6,0,0,5,1991,10,0,0.00
147,5,6,0,0,5,1991,10,0,0.00
148,5,6,0,0,5,1991,10,0,0.00
149,5,7,0,0,5,1990,10,0,0.20
150,5,7,0,0,5,1990,10,0,0.00
151,5,7,0,0,5,1990,10,0,0.00
152,5,7,0,0,5,1990,10,0,0.00
153,5,7,0,0,5,1990,10,0,0.00
154,5,7,0,0,5,1990,10,0,0.00
155,5,7,0,0,5,1990,10,0,0.00
156,5,7,0,0,5,1990,10,0,0.00
157,5,7,0,0,5,1990,10,0,0.00
158,5,7,0,0,5,1990,10,0,0.00
159,5,7,0,0,5,1990,10,0,0.00
160,5,7,0,0,5,1990,10,0,0.00
161,5,7,0,0,5,1990,10,0,0.00
162,5,7,0,0,5,1990,10,0,0.00
163,5,7,0,0,5,1990,10,0,0.00
164,5,7,0,0,5,1990,10,0,0.00
165,5,7,0,0,5,1990,10,0,0.00
166,5,7,0,0,5,1990,10,0,0.00
167,5,7,0,0,5,1990,10,0,0.00
168,5,7,0,0,5,1990,10,0,0.00
169,5,7,0,0,5,1990,10,0,0.00
170,5,7,0,0,5,1990,10,0,0.00
171,5,7,0,0,5,1990,10,0,0.00
172,5,7,0,0,5,1990,10,0,0.00
173,5,7,0,0,5,1990,10,0,0.00
174,5,7,0,0,5,1990,10,0,0.00
175,5,7,0,0,5,1990,10,0,0.00
176,5,8,0,0,5,1989,10,0,0.20
177,5,8,0,0,5,1989,10,0,0.00
