step,infected_agents,exposed_agents,recovered_agents,dead_agents,asympt_agents,suscept_agents,hospital_beds,icu_beds
0,4,0,0,0,4,1996,10,0
1,8,0,0,0,8,2000,10,0
2,8,2,0,0,8,1998,10,0
3,8,2,0,0,8,1998,10,0
4,8,2,0,0,8,1998,10,0
5,8,2,0,0,8,1998,10,0
6,8,2,0,0,8,1998,10,0
7,8,3,0,0,8,1997,10,0
8,8,3,0,0,8,1997,10,0
9,8,3,0,0,8,1997,10,0
10,8,3,0,0,8,1997,10,0
11,8,5,0,0,8,1995,10,0
12,8,6,0,0,8,1994,10,0
13,8,6,0,0,8,1994,10,0
14,8,6,0,0,8,1994,10,0
15,8,6,0,0,8,1994,10,0
16,8,6,0,0,8,1994,10,0
17,8,6,0,0,8,1994,10,0
18,8,8,0,0,8,1992,10,0
19,8,9,0,0,8,1991,10,0
20,8,10,0,0,8,1990,10,0
21,8,10,0,0,8,1990,10,0
22,8,10,0,0,8,1990,10,0
23,8,10,0,0,8,1990,10,0
24,8,10,0,0,8,1990,10,0
25,8,10,0,0,8,1990,10,0
26,8,10,0,0,8,1990,10,0
27,8,10,0,0,8,1990,10,0
28,8,11,0,0,8,1989,10,0
29,8,11,0,0,8,1989,10,0
30,8,13,0,0,8,1987,10,0
31,8,13,0,0,8,1987,10,0
32,8,14,0,0,8,1986,10,0
33,8,14,0,0,8,1986,10,0
34,8,14,0,0,8,1986,10,0
35,8,14,0,0,8,1986,10,0
36,8,14,0,0,8,1986,10,0
37,8,14,0,0,8,1986,10,0
38,8,14,0,0,8,1986,10,0
39,8,14,0,0,8,1986,10,0
40,8,14,0,0,8,1986,10,0
41,8,14,0,0,8,1986,10,0
42,8,14,0,0,8,1986,10,0
43,8,14,0,0,8,1986,10,0
44,8,14,0,0,8,1986,10,0
45,8,16,0,0,8,1984,10,0
46,8,16,0,0,8,1984,10,0
47,8,16,0,0,8,1984,10,0
48,8,16,0,0,8,1984,10,0
49,8,16,0,0,8,1984,10,0
50,8,16,0,0,8,1984,10,0
51,10,16,0,0,10,1986,10,0
52,10,16,0,0,10,1986,10,0
53,10,16,0,0,10,1986,10,0
54,10,17,0,0,10,1985,10,0
55,10,18,0,0,10,1984,10,0
56,10,18,0,0,10,1984,10,0
57,11,17,0,0,10,1984,10,0
58,11,18,0,0,10,1983,10,0
59,11,19,0,0,10,1982,10,0
60,11,19,0,0,10,1982,10,0
61,11,19,0,0,10,1982,10,0
62,11,19,0,0,10,1982,10,0
63,11,19,0,0,10,1982,10,0
64,11,19,0,0,10,1982,10,0
65,11,19,0,0,10,1982,10,0
66,11,19,0,0,10,1982,10,0
67,11,19,0,0,10,1982,10,0
68,11,19,0,0,10,1982,10,0
69,11,19,0,0,10,1982,10,0
70,11,19,0,0,10,1982,10,0
71,11,20,0,0,10,1981,10,0
72,11,20,0,0,10,1981,10,0
73,11,20,0,0,10,1981,10,0
74,11,20,0,0,10,1981,10,0
75,12,19,0,0,11,1981,10,0
76,12,19,0,0,11,1981,10,0
77,12,20,0,0,11,1980,10,0
78,12,20,0,0,11,1980,10,0
79,12,20,0,0,11,1980,10,0
