step,infected_agents,exposed_agents,recovered_agents,dead_agents,asympt_agents
0,4,0,0,0,4
1,6,0,0,0,6
2,6,0,0,0,6
3,6,0,0,0,6
4,6,0,0,0,6
5,6,0,0,0,6
6,6,0,0,0,6
7,6,0,0,0,6
8,6,0,0,0,6
9,6,0,0,0,6
10,6,0,0,0,6
11,6,1,0,0,6
12,6,1,0,0,6
13,6,1,0,0,6
14,6,1,0,0,6
15,6,1,0,0,6
16,6,1,0,0,6
17,6,1,0,0,6
18,6,1,0,0,6
19,6,1,0,0,6
20,6,1,0,0,6
21,6,1,0,0,6
22,6,1,0,0,6
23,6,2,0,0,6
24,6,2,0,0,6
25,6,2,0,0,6
26,6,2,0,0,6
27,6,2,0,0,6
28,6,2,0,0,6
29,6,2,0,0,6
30,6,2,0,0,6
31,6,2,0,0,6
32,6,2,0,0,6
33,6,2,0,0,6
34,6,2,0,0,6
35,6,2,0,0,6
36,6,2,0,0,6
37,6,2,0,0,6
38,6,2,0,0,6
39,6,2,0,0,6
40,6,2,0,0,6
41,6,3,0,0,6
42,6,3,0,0,6
43,6,3,0,0,6
44,6,3,0,0,6
45,6,3,0,0,6
46,6,3,0,0,6
47,6,3,0,0,6
48,6,3,0,0,6
49,6,3,0,0,6
50,6,3,0,0,6
51,6,3,0,0,6
52,6,3,0,0,6
53,6,3,0,0,6
54,6,3,0,0,6
55,6,3,0,0,6
56,6,3,0,0,6
57,6,3,0,0,6
58,6,3,0,0,6
59,6,3,0,0,6
60,6,3,0,0,6
61,6,3,0,0,6
62,6,3,0,0,6
63,6,3,0,0,6
64,6,4,0,0,6
65,6,4,0,0,6
66,6,5,0,0,6
67,6,5,0,0,6
68,6,5,0,0,6
69,6,5,0,0,6
70,6,5,0,0,6
71,6,5,0,0,6
72,6,7,0,0,6
73,6,7,0,0,6
74,6,7,0,0,6
75,6,8,0,0,6
76,6,8,0,0,6
77,6,8,0,0,6
78,6,8,0,0,6
79,6,8,0,0,6
80,6,8,0,0,6
81,6,8,0,0,6
82,6,8,0,0,6
83,6,8,0,0,6
84,6,8,0,0,6
85,6,8,0,0,6
86,6,8,0,0,6
87,6,8,0,0,6
88,6,8,0,0,6
89,6,8,0,0,6
90,6,8,0,0,6
91,6,8,0,0,6
92,6,8,0,0,6
93,6,8,0,0,6
94,6,8,0,0,6
95,6,8,0,0,6
96,6,8,0,0,6
97,6,8,0,0,6
98,6,8,0,0,6
99,6,8,0,0,6
100,6,8,0,0,6
101,6,8,0,0,6
102,6,8,0,0,6
103,6,8,0,0,6
104,6,8,0,0,6
105,6,8,0,0,6
106,6,8,0,0,6
107,6,8,0,0,6
108,6,8,0,0,6
109,6,8,0,0,6
110,6,8,0,0,6
111,6,8,0,0,6
112,6,8,0,0,6
113,6,8,0,0,6
114,6,8,0,0,6
115,6,8,0,0,6
116,6,8,0,0,6
117,6,8,0,0,6
118,6,8,0,0,6
119,6,8,0,0,6
120,6,8,0,0,6
121,6,8,0,0,6
122,6,8,0,0,6
123,6,8,0,0,6
124,6,8,0,0,6
125,6,8,0,0,6
126,6,8,0,0,6
127,6,8,0,0,6
128,6,8,0,0,6
129,6,8,0,0,6
130,6,8,0,0,6
131,6,8,0,0,6
132,6,8,0,0,6
133,6,8,0,0,6
134,6,8,0,0,6
135,6,8,0,0,6
136,6,8,0,0,6
137,6,8,0,0,6
138,6,8,0,0,6
139,6,8,0,0,6
140,6,8,0,0,6
141,6,9,0,0,6
142,6,9,0,0,6
143,6,9,0,0,6
144,6,9,0,0,6
145,6,9,0,0,6
146,6,9,0,0,6
147,6,9,0,0,6
148,6,9,0,0,6
149,6,9,0,0,6
150,6,9,0,0,6
151,6,9,0,0,6
152,6,9,0,0,6
153,6,9,0,0,6
154,6,9,0,0,6
155,6,9,0,0,6
156,6,9,0,0,6
157,6,9,0,0,6
158,6,9,0,0,6
159,6,9,0,0,6
160,6,9,0,0,6
161,6,9,0,0,6
162,6,9,0,0,6
163,6,9,0,0,6
164,6,9,0,0,6
165,6,9,0,0,6
166,6,9,0,0,6
167,6,9,0,0,6
168,6,9,0,0,6
169,6,9,0,0,6
170,6,9,0,0,6
171,6,9,0,0,6
172,6,9,0,0,6
173,6,9,0,0,6
174,6,9,0,0,6
175,6,9,0,0,6
176,6,9,0,0,6
177,6,9,0,0,6
178,6,9,0,0,6
179,6,9,0,0,6
180,6,9,0,0,6
181,6,9,0,0,6
182,6,9,0,0,6
183,6,9,0,0,6
184,6,9,0,0,6
185,6,10,0,0,6
186,6,10,0,0,6
187,6,10,0,0,6
