step,infected_agents,exposed_agents,recovered_agents,dead_agents,asympt_agents,suscept_agents,hospital_beds,icu_beds,avg_infection
0,4,0,0,0,4,1996,10,0,0.00
1,5,0,0,0,5,1997,10,0,0.00
2,5,0,0,0,5,1997,10,0,0.00
3,5,0,0,0,5,1997,10,0,0.00
4,5,0,0,0,5,1997,10,0,0.00
5,5,0,0,0,5,1997,10,0,0.00
6,5,0,0,0,5,1997,10,0,0.00
7,5,0,0,0,5,1997,10,0,0.00
8,5,0,0,0,5,1997,10,0,0.00
9,5,0,0,0,5,1997,10,0,0.00
10,5,0,0,0,5,1997,10,0,0.00
11,5,0,0,0,5,1997,10,0,0.00
12,5,0,0,0,5,1997,10,0,0.00
13,5,0,0,0,5,1997,10,0,0.00
14,5,0,0,0,5,1997,10,0,0.00
15,5,0,0,0,5,1997,10,0,0.00
16,5,0,0,0,5,1997,10,0,0.00
17,5,0,0,0,5,1997,10,0,0.00
18,5,0,0,0,5,1997,10,0,0.00
19,5,0,0,0,5,1997,10,0,0.00
20,5,0,0,0,5,1997,10,0,0.00
21,5,0,0,0,5,1997,10,0,0.00
22,5,0,0,0,5,1997,10,0,0.00
23,5,0,0,0,5,1997,10,0,0.00
24,5,0,0,0,5,1997,10,0,0.00
25,5,0,0,0,5,1997,10,0,0.00
26,5,0,0,0,5,1997,10,0,0.00
27,5,0,0,0,5,1997,10,0,0.00
28,5,0,0,0,5,1997,10,0,0.00
29,5,0,0,0,5,1997,10,0,0.00
30,5,0,0,0,5,1997,10,0,0.00
31,5,0,0,0,5,1997,10,0,0.00
32,5,0,0,0,5,1997,10,0,0.00
33,5,0,0,0,5,1997,10,0,0.00
34,5,0,0,0,5,1997,10,0,0.00
35,5,0,0,0,5,1997,10,0,0.00
36,5,0,0,0,5,1997,10,0,0.00
37,5,0,0,0,5,1997,10,0,0.00
38,5,0,0,0,5,1997,10,0,0.00
39,5,0,0,0,5,1997,10,0,0.00
40,5,0,0,0,5,1997,10,0,0.00
41,5,0,0,0,5,1997,10,0,0.00
42,5,0,0,0,5,1997,10,0,0.00
43,5,0,0,0,5,1997,10,0,0.00
44,5,0,0,0,5,1997,10,0,0.00
45,5,0,0,0,5,1997,10,0,0.00
46,5,0,0,0,5,1997,10,0,0.00
47,5,0,0,0,5,1997,10,0,0.00
48,5,0,0,0,5,1997,10,0,0.00
49,5,0,0,0,5,1997,10,0,0.00
50,5,0,0,0,5,1997,10,0,0.00
51,5,0,0,0,5,1997,10,0,0.00
