step,infected_agents,exposed_agents,recovered_agents,dead_agents,asympt_agents,suscept_agents,hospital_beds,icu_beds,avg_infection
0,4,1,0,0,4,1995,10,0,0.25
1,5,1,0,0,5,1996,10,0,0.20
2,5,1,0,0,5,1996,10,0,0.20
3,5,1,0,0,5,1996,10,0,0.20
4,5,1,0,0,5,1996,10,0,0.20
5,5,1,0,0,5,1996,10,0,0.20
6,5,1,0,0,5,1996,10,0,0.20
7,5,1,0,0,5,1996,10,0,0.20
8,5,1,0,0,5,1996,10,0,0.20
9,5,1,0,0,5,1996,10,0,0.20
10,5,2,0,0,5,1995,10,0,0.40
11,5,2,0,0,5,1995,10,0,0.40
12,5,2,0,0,5,1995,10,0,0.40
13,5,2,0,0,5,1995,10,0,0.40
14,5,2,0,0,5,1995,10,0,0.40
15,5,3,0,0,5,1994,10,0,0.60
16,5,3,0,0,5,1994,10,0,0.60
17,5,3,0,0,5,1994,10,0,0.60
18,5,3,0,0,5,1994,10,0,0.60
19,5,3,0,0,5,1994,10,0,0.60
20,5,3,0,0,5,1994,10,0,0.60
21,5,3,0,0,5,1994,10,0,0.60
22,5,3,0,0,5,1994,10,0,0.60
23,5,3,0,0,5,1994,10,0,0.60
24,5,3,0,0,5,1994,10,0,0.60
25,5,3,0,0,5,1994,10,0,0.60
26,5,3,0,0,5,1994,10,0,0.60
27,5,3,0,0,5,1994,10,0,0.60
28,5,3,0,0,5,1994,10,0,0.60
29,5,3,0,0,5,1994,10,0,0.60
30,5,3,0,0,5,1994,10,0,0.60
31,5,3,0,0,5,1994,10,0,0.60
32,5,3,0,0,5,1994,10,0,0.60
33,5,3,0,0,5,1994,10,0,0.60
34,5,3,0,0,5,1994,10,0,0.60
35,5,4,0,0,5,1993,10,0,0.80
36,5,4,0,0,5,1993,10,0,0.80
37,5,4,0,0,5,1993,10,0,0.80
38,5,4,0,0,5,1993,10,0,0.80
39,5,4,0,0,5,1993,10,0,0.80
40,5,4,0,0,5,1993,10,0,0.80
41,5,4,0,0,5,1993,10,0,0.80
42,5,4,0,0,5,1993,10,0,0.80
43,5,4,0,0,5,1993,10,0,0.80
44,5,4,0,0,5,1993,10,0,0.80
45,5,4,0,0,5,1993,10,0,0.80
46,5,5,0,0,5,1992,10,0,1.00
47,5,5,0,0,5,1992,10,0,1.00
48,5,5,0,0,5,1992,10,0,1.00
49,5,5,0,0,5,1992,10,0,1.00
50,5,5,0,0,5,1992,10,0,1.00
51,5,5,0,0,5,1992,10,0,1.00
52,5,5,0,0,5,1992,10,0,1.00
53,5,5,0,0,5,1992,10,0,1.00
54,5,5,0,0,5,1992,10,0,1.00
55,5,5,0,0,5,1992,10,0,1.00
56,5,5,0,0,5,1992,10,0,1.00
57,5,5,0,0,5,1992,10,0,1.00
58,5,5,0,0,5,1992,10,0,1.00
