step,infected_agents,exposed_agents,recovered_agents,dead_agents,asympt_agents,suscept_agents,hospital_beds,icu_beds
0,4,0,0,0,4,1996,10,0
1,6,0,0,0,6,1998,10,0
2,6,0,0,0,6,1998,10,0
3,6,1,0,0,6,1997,10,0
4,6,1,0,0,6,1997,10,0
5,6,1,0,0,6,1997,10,0
6,6,1,0,0,6,1997,10,0
7,6,2,0,0,6,1996,10,0
8,6,2,0,0,6,1996,10,0
9,6,2,0,0,6,1996,10,0
10,6,2,0,0,6,1996,10,0
11,6,2,0,0,6,1996,10,0
12,6,2,0,0,6,1996,10,0
13,6,2,0,0,6,1996,10,0
14,6,2,0,0,6,1996,10,0
15,6,2,0,0,6,1996,10,0
16,6,2,0,0,6,1996,10,0
17,6,2,0,0,6,1996,10,0
18,6,2,0,0,6,1996,10,0
19,6,2,0,0,6,1996,10,0
20,6,2,0,0,6,1996,10,0
21,6,2,0,0,6,1996,10,0
22,6,2,0,0,6,1996,10,0
23,6,2,0,0,6,1996,10,0
24,6,2,0,0,6,1996,10,0
25,6,2,0,0,6,1996,10,0
26,6,2,0,0,6,1996,10,0
27,6,2,0,0,6,1996,10,0
28,6,2,0,0,6,1996,10,0
29,6,2,0,0,6,1996,10,0
30,6,2,0,0,6,1996,10,0
31,6,2,0,0,6,1996,10,0
32,6,2,0,0,6,1996,10,0
33,6,2,0,0,6,1996,10,0
34,6,2,0,0,6,1996,10,0
35,6,3,0,0,6,1995,10,0
36,6,3,0,0,6,1995,10,0
37,6,3,0,0,6,1995,10,0
38,6,3,0,0,6,1995,10,0
39,6,3,0,0,6,1995,10,0
40,6,3,0,0,6,1995,10,0
41,6,3,0,0,6,1995,10,0
42,6,3,0,0,6,1995,10,0
43,6,3,0,0,6,1995,10,0
44,6,3,0,0,6,1995,10,0
45,6,3,0,0,6,1995,10,0
46,6,3,0,0,6,1995,10,0
47,6,3,0,0,6,1995,10,0
48,6,3,0,0,6,1995,10,0
49,6,3,0,0,6,1995,10,0
50,6,4,0,0,6,1994,10,0
51,6,5,0,0,6,1993,10,0
52,6,5,0,0,6,1993,10,0
53,6,5,0,0,6,1993,10,0
54,6,5,0,0,6,1993,10,0
55,6,5,0,0,6,1993,10,0
56,6,5,0,0,6,1993,10,0
57,6,6,0,0,6,1992,10,0
58,6,6,0,0,6,1992,10,0
59,6,6,0,0,6,1992,10,0
60,6,6,0,0,6,1992,10,0
61,6,6,0,0,6,1992,10,0
62,6,6,0,0,6,1992,10,0
63,6,6,0,0,6,1992,10,0
64,6,6,0,0,6,1992,10,0
65,6,6,0,0,6,1992,10,0
66,6,6,0,0,6,1992,10,0
67,6,6,0,0,6,1992,10,0
68,6,6,0,0,6,1992,10,0
69,6,6,0,0,6,1992,10,0
70,6,6,0,0,6,1992,10,0
71,6,6,0,0,6,1992,10,0
72,6,6,0,0,6,1992,10,0
73,6,6,0,0,6,1992,10,0
74,6,6,0,0,6,1992,10,0
75,6,6,0,0,6,1992,10,0
76,6,6,0,0,6,1992,10,0
77,6,6,0,0,6,1992,10,0
78,6,6,0,0,6,1992,10,0
79,6,6,0,0,6,1992,10,0
80,6,6,0,0,6,1992,10,0
81,6,6,0,0,6,1992,10,0
82,6,6,0,0,6,1992,10,0
83,6,6,0,0,6,1992,10,0
84,6,6,0,0,6,1992,10,0
85,6,6,0,0,6,1992,10,0
86,6,6,0,0,6,1992,10,0
87,6,6,0,0,6,1992,10,0
88,6,6,0,0,6,1992,10,0
89,6,6,0,0,6,1992,10,0
90,6,6,0,0,6,1992,10,0
91,6,7,0,0,6,1991,10,0
92,6,7,0,0,6,1991,10,0
93,6,7,0,0,6,1991,10,0
94,6,7,0,0,6,1991,10,0
95,6,8,0,0,6,1990,10,0
96,6,8,0,0,6,1990,10,0
97,6,8,0,0,6,1990,10,0
98,6,8,0,0,6,1990,10,0
99,6,8,0,0,6,1990,10,0
100,6,8,0,0,6,1990,10,0
101,6,8,0,0,6,1990,10,0
102,6,8,0,0,6,1990,10,0
103,6,8,0,0,6,1990,10,0
104,6,8,0,0,6,1990,10,0
105,6,9,0,0,6,1989,10,0
106,6,9,0,0,6,1989,10,0
107,6,9,0,0,6,1989,10,0
108,6,9,0,0,6,1989,10,0
109,6,9,0,0,6,1989,10,0
110,6,9,0,0,6,1989,10,0
111,6,9,0,0,6,1989,10,0
112,6,9,0,0,6,1989,10,0
113,6,9,0,0,6,1989,10,0
114,6,9,0,0,6,1989,10,0
115,6,9,0,0,6,1989,10,0
116,6,9,0,0,6,1989,10,0
117,6,9,0,0,6,1989,10,0
118,6,9,0,0,6,1989,10,0
119,6,9,0,0,6,1989,10,0
120,6,9,0,0,6,1989,10,0
121,6,9,0,0,6,1989,10,0
122,6,9,0,0,6,1989,10,0
123,6,9,0,0,6,1989,10,0
124,6,9,0,0,6,1989,10,0
125,6,9,0,0,6,1989,10,0
126,6,9,0,0,6,1989,10,0
127,6,9,0,0,6,1989,10,0
128,6,9,0,0,6,1989,10,0
129,6,9,0,0,6,1989,10,0
130,6,9,0,0,6,1989,10,0
131,6,9,0,0,6,1989,10,0
132,6,9,0,0,6,1989,10,0
133,6,9,0,0,6,1989,10,0
134,6,9,0,0,6,1989,10,0
135,6,9,0,0,6,1989,10,0
136,6,9,0,0,6,1989,10,0
137,6,9,0,0,6,1989,10,0
138,6,9,0,0,6,1989,10,0
139,6,9,0,0,6,1989,10,0
140,6,9,0,0,6,1989,10,0
141,6,9,0,0,6,1989,10,0
142,6,9,0,0,6,1989,10,0
143,6,9,0,0,6,1989,10,0
144,6,9,0,0,6,1989,10,0
145,6,9,0,0,6,1989,10,0
146,6,9,0,0,6,1989,10,0
147,6,9,0,0,6,1989,10,0
148,6,9,0,0,6,1989,10,0
149,6,9,0,0,6,1989,10,0
150,6,9,0,0,6,1989,10,0
151,6,9,0,0,6,1989,10,0
152,6,9,0,0,6,1989,10,0
153,6,9,0,0,6,1989,10,0
154,6,9,0,0,6,1989,10,0
155,6,9,0,0,6,1989,10,0
156,6,9,0,0,6,1989,10,0
157,6,9,0,0,6,1989,10,0
158,6,9,0,0,6,1989,10,0
159,6,9,0,0,6,1989,10,0
160,6,9,0,0,6,1989,10,0
161,6,9,0,0,6,1989,10,0
162,6,9,0,0,6,1989,10,0
163,6,9,0,0,6,1989,10,0
164,6,9,0,0,6,1989,10,0
165,6,9,0,0,6,1989,10,0
166,6,9,0,0,6,1989,10,0
167,6,9,0,0,6,1989,10,0
168,6,9,0,0,6,1989,10,0
169,6,9,0,0,6,1989,10,0
170,6,9,0,0,6,1989,10,0
171,6,9,0,0,6,1989,10,0
172,6,9,0,0,6,1989,10,0
173,6,9,0,0,6,1989,10,0
174,6,9,0,0,6,1989,10,0
175,6,9,0,0,6,1989,10,0
176,6,9,0,0,6,1989,10,0
177,6,9,0,0,6,1989,10,0
178,6,9,0,0,6,1989,10,0
179,6,9,0,0,6,1989,10,0
180,6,9,0,0,6,1989,10,0
181,6,9,0,0,6,1989,10,0
182,6,9,0,0,6,1989,10,0
183,6,9,0,0,6,1989,10,0
184,6,9,0,0,6,1989,10,0
185,6,9,0,0,6,1989,10,0
186,6,9,0,0,6,1989,10,0
187,6,9,0,0,6,1989,10,0
188,6,9,0,0,6,1989,10,0
189,6,9,0,0,6,1989,10,0
190,6,9,0,0,6,1989,10,0
191,6,9,0,0,6,1989,10,0
192,6,9,0,0,6,1989,10,0
193,6,10,0,0,6,1988,10,0
194,6,10,0,0,6,1988,10,0
195,6,10,0,0,6,1988,10,0
196,6,10,0,0,6,1988,10,0
197,6,10,0,0,6,1988,10,0
198,6,10,0,0,6,1988,10,0
199,6,10,0,0,6,1988,10,0
200,6,10,0,0,6,1988,10,0
201,6,10,0,0,6,1988,10,0
202,6,10,0,0,6,1988,10,0
203,6,10,0,0,6,1988,10,0
204,6,10,0,0,6,1988,10,0
205,6,10,0,0,6,1988,10,0
206,6,10,0,0,6,1988,10,0
207,6,10,0,0,6,1988,10,0
208,6,10,0,0,6,1988,10,0
209,6,10,0,0,6,1988,10,0
210,6,10,0,0,6,1988,10,0
211,6,10,0,0,6,1988,10,0
212,6,10,0,0,6,1988,10,0
213,6,10,0,0,6,1988,10,0
214,6,11,0,0,6,1987,10,0
215,6,11,0,0,6,1987,10,0
216,6,11,0,0,6,1987,10,0
217,6,11,0,0,6,1987,10,0
218,6,11,0,0,6,1987,10,0
