step,infected_agents,exposed_agents,recovered_agents,dead_agents,asympt_agents
230,18,24,0,0,16
231,18,24,0,0,16
232,18,24,0,0,16
233,18,24,0,0,16
234,18,26,0,0,16
235,18,26,0,0,16
236,18,26,0,0,16
237,18,26,0,0,16
238,18,26,0,0,16
239,18,26,0,0,16
240,18,26,0,0,16
241,18,27,0,0,16
242,18,27,0,0,16
243,18,27,0,0,16
244,18,28,0,0,16
245,18,28,0,0,16
246,18,28,0,0,16
247,18,28,0,0,16
248,19,28,0,0,16
249,19,28,0,0,16
250,21,27,0,0,18
251,23,27,0,0,20
252,23,28,0,0,20
253,23,28,0,0,20
254,23,28,0,0,20
255,24,27,0,0,21
256,24,27,0,0,21
257,24,27,0,0,21
258,24,27,0,0,21
259,26,25,0,0,23
260,26,25,0,0,23
261,27,24,0,0,24
262,27,25,0,0,24
263,27,25,0,0,24
264,27,25,0,0,24
265,27,26,0,0,24
266,27,28,0,0,24
267,27,28,0,0,24
268,27,28,0,0,24
269,28,27,0,0,24
270,28,28,0,0,24
271,28,28,0,0,24
272,28,28,0,0,24
273,28,28,0,0,24
274,28,28,0,0,24
275,28,28,0,0,24
276,28,28,0,0,24
277,28,28,0,0,24
278,28,28,0,0,24
279,28,28,0,0,24
280,28,28,0,0,24
281,28,28,0,0,24
282,28,28,0,0,24
283,28,28,0,0,24
284,28,29,0,0,24
285,28,29,0,0,24
286,28,29,0,0,24
287,28,29,0,0,24
288,28,29,0,0,24
289,28,29,0,0,24
290,28,30,0,0,24
291,28,30,0,0,24
292,28,30,0,0,23
293,28,31,0,0,23
294,29,30,0,0,24
295,29,32,0,0,24
296,29,32,0,0,24
297,29,32,0,0,24
298,29,32,0,0,24
299,29,32,0,0,24
300,29,33,0,0,24
301,30,33,0,0,25
302,30,33,0,0,25
303,30,33,0,0,25
304,30,33,0,0,25
305,30,33,0,0,25
306,30,33,0,0,25
307,30,33,0,0,25
308,30,34,0,0,25
309,30,34,0,0,25
310,30,34,0,0,25
311,30,34,0,0,25
312,30,34,0,0,25
313,30,35,0,0,25
314,30,35,0,0,25
315,30,35,0,0,25
316,31,36,0,0,26
317,31,36,0,0,26
318,31,36,0,0,26
319,31,38,0,0,26
320,31,38,0,0,26
321,31,38,0,0,26
322,32,38,0,0,27
323,32,38,0,0,27
324,32,38,0,0,27
325,32,38,0,0,27
326,32,40,0,0,27
327,32,40,0,0,27
328,33,39,0,0,28
329,34,39,0,0,28
330,34,39,0,0,28
331,34,39,0,0,28
332,34,39,0,0,28
333,34,39,0,0,28
334,34,39,0,0,28
335,36,37,0,0,30
336,36,37,0,0,30
337,36,38,0,0,30
338,36,38,0,0,29
339,36,40,0,0,29
340,36,40,0,0,29
341,37,39,0,0,30
342,37,39,0,0,30
343,37,40,0,0,30
344,37,39,0,0,30
345,37,39,0,0,30
346,37,39,0,0,30
347,37,39,0,0,30
348,37,39,0,0,30
349,37,39,0,0,30
350,37,39,0,0,30
351,41,39,0,0,34
352,41,41,0,0,34
353,41,41,0,0,34
354,41,42,0,0,34
355,41,42,0,0,34
356,41,42,0,0,34
357,41,42,0,0,34
358,41,43,0,0,34
359,41,43,0,0,34
360,41,44,0,0,34
361,41,46,0,0,34
362,42,45,0,0,35
363,42,46,0,0,34
364,42,46,0,0,34
365,42,46,0,0,34
366,42,46,0,0,34
367,42,46,0,0,34
368,42,46,0,0,34
369,42,46,0,0,34
370,42,46,0,0,34
371,42,46,0,0,34
372,42,46,0,0,34
373,43,45,0,0,35
374,43,45,0,0,35
375,43,46,0,0,35
376,43,47,0,0,35
377,44,46,0,0,35
378,44,46,0,0,35
379,44,47,0,0,35
380,44,48,0,0,35
381,44,48,0,0,34
382,44,49,0,0,34
383,44,50,0,0,34
384,44,50,0,0,34
385,45,49,0,0,35
386,45,49,0,0,35
387,46,48,0,0,36
388,47,48,0,0,36
389,47,49,0,0,36
390,47,49,0,0,36
391,48,48,0,0,37
392,48,48,0,0,37
393,48,49,0,0,37
394,48,50,0,0,37
395,48,50,0,0,37
396,48,50,0,0,37
397,48,50,0,0,37
398,49,50,0,0,38
399,49,50,0,0,38
400,49,50,0,0,38
401,49,50,0,0,38
402,50,49,0,0,39
403,50,49,0,0,39
404,50,49,0,0,39
405,50,49,0,0,39
406,50,49,0,0,39
407,50,49,0,0,39
408,50,49,0,0,39
409,52,48,0,0,40
410,53,47,0,0,40
411,53,47,0,0,40
412,53,47,0,0,40
413,53,47,0,0,40
414,53,48,0,0,40
415,53,48,0,0,40
416,53,48,0,0,40
417,54,48,0,0,41
418,54,48,0,0,41
419,54,49,0,0,41
420,54,49,0,0,41
421,54,50,0,0,41
422,54,50,0,0,41
423,54,50,0,0,41
424,54,50,0,0,41
425,54,50,0,0,41
426,54,50,0,0,41
427,54,51,0,0,41
428,54,52,0,0,41
429,54,52,0,0,41
430,55,51,0,0,42
431,55,52,0,0,42
432,55,52,0,0,42
433,55,52,0,0,42
434,55,52,0,0,42
435,56,51,0,0,42
436,56,51,0,0,42
437,57,50,0,0,42
438,57,50,0,0,42
439,57,50,0,0,42
440,57,50,0,0,42
441,57,50,0,0,42
442,58,49,0,0,43
443,58,50,0,0,43
444,58,50,0,0,43
445,58,50,0,0,43
446,58,50,0,0,43
447,58,50,0,0,43
448,59,50,0,0,44
449,59,50,0,0,44
