step,infected_agents,exposed_agents,recovered_agents,dead_agents,asympt_agents,suscept_agents,hospital_beds,icu_beds
144,12,17,0,0,12,1983,10,0
145,12,18,0,0,12,1982,10,0
146,12,18,0,0,12,1982,10,0
147,12,17,0,0,12,1982,10,0
148,12,17,0,0,12,1982,10,0
149,12,17,0,0,12,1982,10,0
150,12,17,0,0,12,1982,10,0
151,13,18,0,0,13,1982,10,0
152,13,18,0,0,13,1982,10,0
153,13,18,0,0,13,1982,10,0
154,13,18,0,0,13,1982,10,0
155,13,18,0,0,13,1982,10,0
156,13,18,0,0,13,1982,10,0
157,13,18,0,0,13,1982,10,0
158,13,20,0,0,13,1980,10,0
159,14,19,0,0,14,1980,10,0
160,14,19,0,0,14,1980,10,0
161,14,19,0,0,14,1980,10,0
162,14,20,0,0,14,1979,10,0
163,14,20,0,0,14,1979,10,0
164,14,20,0,0,14,1979,10,0
165,14,20,0,0,14,1979,10,0
166,14,21,0,0,14,1978,10,0
167,14,21,0,0,14,1978,10,0
168,14,21,0,0,14,1978,10,0
169,14,21,0,0,14,1978,10,0
170,14,21,0,0,14,1978,10,0
171,14,21,0,0,14,1978,10,0
172,14,21,0,0,14,1978,10,0
173,14,21,0,0,14,1978,10,0
174,14,21,0,0,14,1978,10,0
175,14,21,0,0,14,1978,10,0
176,14,21,0,0,14,1978,10,0
177,14,21,0,0,14,1978,10,0
178,14,21,0,0,14,1978,10,0
179,14,21,0,0,14,1978,10,0
180,14,21,0,0,14,1978,10,0
181,14,21,0,0,14,1978,10,0
182,14,21,0,0,14,1978,10,0
183,14,21,0,0,14,1978,10,0
184,14,21,0,0,14,1978,10,0
185,14,21,0,0,14,1978,10,0
186,15,20,0,0,15,1978,10,0
187,15,21,0,0,15,1977,10,0
188,16,21,0,0,16,1976,10,0
189,16,21,0,0,16,1976,10,0
190,16,21,0,0,16,1976,10,0
191,17,20,0,0,16,1976,10,0
192,17,20,0,0,16,1976,10,0
193,18,19,0,0,16,1976,10,0
194,18,19,0,0,16,1976,10,0
195,18,19,0,0,16,1976,10,0
196,19,19,0,0,17,1975,10,0
197,19,19,0,0,17,1975,10,0
198,19,19,0,0,17,1975,10,0
199,19,22,0,0,17,1972,10,0
200,19,22,0,0,17,1972,10,0
201,23,22,0,0,21,1976,10,0
202,23,22,0,0,21,1976,10,0
203,23,22,0,0,21,1976,10,0
204,23,23,0,0,21,1975,10,0
205,23,23,0,0,21,1975,10,0
206,23,23,0,0,21,1975,10,0
207,23,24,0,0,21,1974,10,0
208,23,24,0,0,21,1974,10,0
